winery,wine,year,columna,metodo,fuentes_referenciales
Cerro San Cristobal,Dominio del Verso Red Blend,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Altos de Rioja,Altos R Pigeage Nacido en Barrica Blanco,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2007,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Vinya del Vuit,La Vinya del Vuit (8),2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Venus la Universal,Venus de la Figuera,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pedralonga,Vendetta,2013,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Alion,Ribera del Duero,2009,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pintia,Toro,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pintia,Toro,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pintia,Toro,2013,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Rioja Alta,Rioja Gran Reserva 904,2009,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matarromera,Ribera del Duero Reserva,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Rioja Alta,Rioja Gran Reserva 904,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Rioja Alta,Rioja Gran Reserva 904,2007,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Emilio Moro,Malleolus,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Muga,Seleccion Especial (Reserva),2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matarromera,Ribera del Duero Reserva,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Hacienda Monasterio,Cosecha,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Rioja Alta,Rioja Gran Reserva 904,2010,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Muga,Prado Enea Gran Reserva,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas Mauro,Red,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Abadia Retuerta,Seleccion Especial,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas El Nido,Clio,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Dominio de Pingus,Flor de Pingus,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Dominio de Pingus,Flor de Pingus,2013,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas Tradicion,Cream Tradicion Vos 20 Years,N.V.,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Tinto Pesquera,Millenium Reserva,2008,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Hacienda Monasterio,Cosecha,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Arzuaga,Gran Reserva Ribera del Duero,2009,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Ausas,Interpretacion,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vega Sicilia,Valbuena 5o,1995,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas Mauro,VS,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vina Sastre,Pago de Santa Cruz,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Ordonez,Vatan Tinta de Toro,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Cillar de Silos,Dominio del Pidio,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
